,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,netflix_title
0,False,/w6sATpIMdqnkfhcET2QLABqZaIB.jpg,[99],653574,en,Dick Johnson Is Dead,"With this inventive portrait, director Kirsten Johnson seeks a way to keep her 86-year-old father alive forever. Utilizing moviemaking magic and her family’s dark humor, she celebrates Dr. Dick Johnson’s last years by staging fantasies of death and beyond. Together, dad and daughter confront the great inevitability awaiting us all.",8.897,/2h8bkpyGK0U5cVCH79Hzw1LT5qn.jpg,2020-01-23,Dick Johnson Is Dead,False,7.305,110,Dick Johnson Is Dead
1,False,/ugukqzx4gSzBd1yzmbWEHLkpGaS.jpg,"[16, 10751, 14, 35, 12]",597316,en,My Little Pony: A New Generation,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",27.699,/hzq5XRGgm6NDMOW1idUvbpGqEkv.jpg,2021-09-23,My Little Pony: A New Generation,False,7.8,263,My Little Pony: A New Generation
2,False,/8Kg9PV1NRIwS6emC46NcUwHCmDW.jpg,"[18, 14, 36, 878]",68351,en,Sankofa,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",1.851,/t5PTcnhZgHzL7HUZKQP95UQDD5o.jpg,1993-05-28,Sankofa,False,6.0,11,Sankofa
3,False,/1tDelhmpG8KzFdU3QvOhBScm4sS.jpg,[18],468225,en,The Starling,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,9.418,/gPkaPGNbjZCeRurSYGi0JD63DBa.jpg,2021-09-17,The Starling,False,7.072,242,The Starling
4,False,/bhTMwf7XO4mbk4plgvFjq7tzoWt.jpg,"[18, 53]",683641,de,Je suis Karl,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",6.457,/u9BbGSO1JWl7ymewtzFJTn1XyUv.jpg,2021-09-16,Je suis Karl,False,5.233,43,Je Suis Karl
5,False,/yMJBNo0FgTKeh5u9hrUBdUuUdSI.jpg,"[35, 18]",786705,pt,Confissões de uma Garota Excluída,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",10.446,/fRxz9cKaCOF5noUBvoA6cebOdUE.jpg,2021-09-22,Confessions of an Invisible Girl,False,6.846,204,Confessions of an Invisible Girl
6,False,/mopiltTJnds8foyeXVdte9LmJpr.jpg,"[99, 36]",683398,es,El hombre más peligroso de Europa: Otto Skorzeny en España,"Waffen-SS officer Otto Skorzeny (1908-75) became famous for his participation in daring military actions during World War II. In 1947 he was judged and imprisoned, but he escaped less than a year later and found a safe haven in Spain, ruled with an iron hand by General Francisco Franco. What did he do during the many years he spent there?",4.385,/4ftSXSlgZvp4IDuOmX7Px40q60X.jpg,2020-01-29,The Most Dangerous Man in Europe: Otto Skorzeny's After War,False,6.6,11,Europe's Most Dangerous Man: Otto Skorzeny in Spain
7,False,/oM7AstNYo6eSkgAieXvsIxTPPDv.jpg,[53],785752,en,Intrusion,"When a husband and wife move to a small town, a home invasion leaves the wife traumatized and suspicious that those around her might not be who they seem.",14.028,/o6ozTBflWXlBje0uxJv4m6s4HTq.jpg,2021-09-22,Intrusion,False,6.006,570,Intrusion
8,False,/cMQsrmk6FZpsZioJ3niCiFQ2a1C.jpg,"[16, 10751]",876576,en,Go! Go! Cory Carson: Chrissy Takes the Wheel,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",13.761,/eZvpTcUk0L8paEqegXzUcJa9nG.jpg,2021-09-21,Go! Go! Cory Carson: Chrissy Takes the Wheel,False,5.8,24,Go! Go! Cory Carson: Chrissy Takes the Wheel
9,False,,"[35, 10749]",393295,de,Jeans,A movie about the differences between girls and boys.,0.6,,2001-06-24,Jeans,False,0.0,0,Jeans
