,adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count,netflix_title
0,False,/hoVuI69nygLQBJ4FqgRKnukDeKt.jpg,"[10759, 10765]",106541,['US'],en,The Witcher: Blood Origin,"More than a thousand years before the world of The Witcher, seven outcasts in the elven world unite in a blood quest against an unstoppable power.",121.705,/vpfJK9F0UJNcAIIeC42oJyKMnZQ.jpg,2022-12-25,The Witcher: Blood Origin,6.86,513,Blood & Water
1,False,/8sdFdIdShfQboyyMNAMxnHGWEEe.jpg,"[80, 10759]",130523,['FR'],fr,Braqueurs : La série,"Mehdi, a qualified robber, and Liana, an apprentice thief, get involved in a turf war between drug dealers, and have to collaborate in order to save their loved ones.",32.101,/3E6IPkHH541ii41NKpU5loI4fcr.jpg,2021-09-24,Ganglands,7.082,134,Ganglands
2,False,/1vZNvInXpz6leDv1qQ5enFbgZ5O.jpg,"[99, 10764]",134678,['US'],en,Jailbirds New Orleans,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",1.12,/pA7urHEBVDSJR7Cn7bANRbhwly7.jpg,2021-09-24,Jailbirds New Orleans,6.1,5,Jailbirds New Orleans
3,False,/mQEmKXSFlzBlSoYgut0VfjxAzoA.jpg,"[35, 18]",89113,['IN'],hi,कोटा फ़ैक्ट्री,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",10.965,/fMBookmwL6HjIgIVTjQ6EMr3pCH.jpg,2019-04-16,Kota Factory,8.089,62,Kota Factory
4,False,/4XbQb5YoWK9oMrlQdKwtZ1ccpC8.jpg,"[9648, 18, 10765]",97400,['US'],en,Midnight Mass,"An unsettling omen washes ashore in the wake of the storm. Later, when the locals gather for a potluck, tragedy strikes – and a miracle occurs.",30.31,/iYoMZYVD775MtBYJfv6OGY1FsnL.jpg,2021-09-24,Midnight Mass,7.588,582,Midnight Mass
5,False,/lQSNRUFmnsUxtOSaH0F4KHY6AlC.jpg,[],215598,['GB'],en,The Great British Baking Show Holidays,"Deck the halls with sugar, butter and chocolate as competitors from past seasons of ""The Great British Baking Show"" prepare sweet Yuletide treats for the show's judges.",0.6,/7GYVMH5SY2O8kq1fa4cvTpyLAxB.jpg,,The Great British Baking Show Holidays,0.0,0,The Great British Baking Show
6,False,/3xQf1HyqnEOhRP65hh3lKE5yNcb.jpg,[99],132013,[],it,"Vendetta: Truth, Lies and The Mafia","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",2.629,/91A5GVW13g4SctllYK5SCBP3ajP.jpg,2021-09-24,"Vendetta: Truth, Lies and The Mafia",6.3,9,"Vendetta: Truth, Lies and The Mafia"
7,False,/e1OGESutD3wBRoHw3I280v6L5Ux.jpg,[80],132158,['TH'],th,มหานครเมืองลวง,"The six-episode series is centered around the wild world of Bangkok's road rescue services and Wanchai who is newly arrived in Bangkok and must unravel a city-wide conspiracy alongside a young, upstart journalist.",11.716,/nAru8tj4RXbLzDL3r89QoVyP6FY.jpg,2021-09-23,Bangkok Breaking,6.788,52,Bangkok Breaking
8,False,/4Uty2eaTb2ub4r4Pz4zCg0V0WDm.jpg,"[80, 99, 9648]",132583,['IN'],kn,Crime Stories: India Detectives,"With unprecedented access to the Bengaluru City Police, this gripping series follows major criminal investigations from the moment the crime is reported through to the capture of the suspects. From murder to kidnap to extortion, each film tracks a shocking and compelling case in the heart of India's Silicon Valley. Filmed with senior officers at home and at work, this is a unique window into the lives of Bengaluru's police officers as they attempt to detect the most complex and serious crimes in the city.",1.009,/69fchSB7zcYG6dIfWpIjwITD1jz.jpg,2021-09-22,Crime Stories: India Detectives,5.3,3,Crime Stories: India Detectives
9,False,/75FWLTNdFNwltHOaXVcAizarSE8.jpg,"[35, 18]",70767,['US'],en,Dear White People,"At a predominantly white Ivy League college, a diverse group of students navigate various forms of racial and other types of discrimination.",17.835,/thHk9AncE8g2Hsb1iK1xHnlq23j.jpg,2017-04-28,Dear White People,6.257,138,Dear White People
10,False,/vwsXyOGWOTVACbAjKOfKlQFO2OX.jpg,"[80, 10759]",82809,"['MX', 'US']",es,Falsa identidad,"Isabel and Diego, two complete strangers, must assume the identity of a married couple in order to flee the state of Sonora.",35.779,/rGIVID9KFrE6oMOtqost2Ccd9Co.jpg,2018-10-03,False Identity,7.5,512,Falsa identidad
11,False,/yfS1Mu8B0pKXwtWD9Ck9gw7L5MP.jpg,"[18, 10768]",127425,['ES'],es,Jaguar,"In 1960s Spain, a Holocaust survivor joins a group of agents seeking justice against the hundreds of Nazis who fled to the nation to hide after WWII.",12.345,/10tPBGrg1tM0Gck4db6NPwT6NfF.jpg,2021-09-22,Jaguar,7.154,68,Jaguar
12,False,/3YyEKgBBh1DOyQ22yiObLHwMRbO.jpg,"[99, 80]",132105,[],en,Monsters Inside: The 24 Faces of Billy Milligan,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",8.655,/w4BvMx1wNVYFLeXHuGm66OENZEh.jpg,2021-09-22,Monsters Inside: The 24 Faces of Billy Milligan,7.1,56,Monsters Inside: The 24 Faces of Billy Milligan
13,False,/lVVsPeqD4sQEBfRH9ELIlUQJibl.jpg,"[10768, 10759, 18]",66017,['TR'],tr,Diriliş: Ertuğrul,Ertuğrul Bey and the Knights Templar in the 13th century Alba and step and step with the struggle against brutal Mongols depicts the process of establishing the Ottoman principality.,21.203,/1TDwn95HYsVQzBuJTgsc2ZNhFg8.jpg,2014-12-11,Resurrection: Ertugrul,7.6,102,Resurrection: Ertugrul
14,False,/4ZQBTq0WghXYgsJO6vKtKNw5aBU.jpg,"[99, 10764]",95730,['AU'],en,Love on the Spectrum,Seven singles take their first steps into the world of dating; this uplifting four-part documentary follows young adults on the autism spectrum as they explore the unpredictable world of love and relationships.,2.396,/zMsuBnjsKDMUrAZ0Ey6Ux3bVtn7.jpg,2019-11-19,Love on the Spectrum,7.214,21,Love on the Spectrum
15,False,/2uboz6wlwIRLdY5HlJhFZ0xzq9g.jpg,"[16, 35]",130077,['US'],en,Chicago Party Aunt,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,5.622,/2iGvVnhvIpzyPLqK18LvgQ3PgPk.jpg,2021-09-17,Chicago Party Aunt,6.2,56,Chicago Party Aunt
16,False,/eDCDAXdY6so6xgGX4fuBDjLnoN6.jpg,"[35, 18]",81356,['GB'],en,Sex Education,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,108.27,/8j12tohv1NBZNmpU93f47sAKBbw.jpg,2019-01-11,Sex Education,8.319,6410,Sex Education
17,False,/2meX1nMdScFOoV4370rqHWKmXhY.jpg,"[10759, 9648, 18]",93405,['KR'],ko,오징어 게임,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games—with high stakes. But, a tempting prize awaits the victor.",96.659,/dDlEmu3EZ0Pgg93K2SVNLCjCSvE.jpg,2021-09-17,Squid Game,7.8,12616,Squid Game
18,False,,[],133863,[],en,Tayo and Little Wizards,upcoming english tv show,0.621,,2021-09-17,Tayo and Little Wizards,0.0,0,Tayo and Little Wizards
